Index,Bacteria/Host species,Download link
Bacteria,Bacteroides intestinalis,wget https://gmpsdb.cn/api/download/bacteria/4958/download/ -O BACTERIA_Bacteroides_intestinalis.tar.gz
Bacteria,Bacteroides neonati,wget https://gmpsdb.cn/api/download/bacteria/4959/download/ -O BACTERIA_Bacteroides_neonati.tar.gz
Bacteria,Bacteroides nordii,wget https://gmpsdb.cn/api/download/bacteria/4960/download/ -O BACTERIA_Bacteroides_nordii.tar.gz
Bacteria,Bacteroides oleiciplenus,wget https://gmpsdb.cn/api/download/bacteria/4961/download/ -O BACTERIA_Bacteroides_oleiciplenus.tar.gz
Bacteria,Bacteroides ovatus,wget https://gmpsdb.cn/api/download/bacteria/4962/download/ -O BACTERIA_Bacteroides_ovatus.tar.gz
Bacteria,Bacteroides pectinophilus,wget https://gmpsdb.cn/api/download/bacteria/4963/download/ -O BACTERIA_Bacteroides_pectinophilus.tar.gz
Bacteria,Bacteroides pyogenes,wget https://gmpsdb.cn/api/download/bacteria/4964/download/ -O BACTERIA_Bacteroides_pyogenes.tar.gz
Bacteria,Bacteroides rodentium,wget https://gmpsdb.cn/api/download/bacteria/4965/download/ -O BACTERIA_Bacteroides_rodentium.tar.gz
Bacteria,Bacteroides salyersiae,wget https://gmpsdb.cn/api/download/bacteria/4966/download/ -O BACTERIA_Bacteroides_salyersiae.tar.gz
Bacteria,Bacteroides sp. 1_1_14,wget https://gmpsdb.cn/api/download/bacteria/4967/download/ -O BACTERIA_Bacteroides_sp._1_1_14.tar.gz
Bacteria,Bacteroides sp. 1_1_30,wget https://gmpsdb.cn/api/download/bacteria/4968/download/ -O BACTERIA_Bacteroides_sp._1_1_30.tar.gz
Bacteria,Bacteroides sp. 2_1_22,wget https://gmpsdb.cn/api/download/bacteria/4969/download/ -O BACTERIA_Bacteroides_sp._2_1_22.tar.gz
Bacteria,Bacteroides sp. 2_1_33B,wget https://gmpsdb.cn/api/download/bacteria/4970/download/ -O BACTERIA_Bacteroides_sp._2_1_33B.tar.gz
Bacteria,Bacteroides sp. 2_2_4,wget https://gmpsdb.cn/api/download/bacteria/4971/download/ -O BACTERIA_Bacteroides_sp._2_2_4.tar.gz
Bacteria,Bacteroides sp. 3_1_19,wget https://gmpsdb.cn/api/download/bacteria/4972/download/ -O BACTERIA_Bacteroides_sp._3_1_19.tar.gz
Bacteria,Bacteroides sp. 3_1_23,wget https://gmpsdb.cn/api/download/bacteria/4973/download/ -O BACTERIA_Bacteroides_sp._3_1_23.tar.gz
